customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,99.76,6217.79,No
CUST-00002,Female,1,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),113.74,2973.22,Yes
CUST-00003,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.35,3417.46,No
CUST-00004,Male,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.78,1895.3,No
CUST-00005,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.21,1242.03,No
CUST-00006,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.41,933.74,Yes
CUST-00007,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),117.16,4205.62,Yes
CUST-00008,Male,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.57,359.4,Yes
CUST-00009,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24.84,768.41,No
CUST-00010,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.07,7246.27,No
CUST-00011,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,21.38,637.94,No
CUST-00012,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,54.85,3510.12,No
CUST-00013,Male,0,No,No,58,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,4744.9,No
CUST-00014,Male,0,No,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),96.83,4770.75,Yes
CUST-00015,Female,0,Yes,No,14,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,40.01,527.03,No
CUST-00016,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.68,877.9,No
CUST-00017,Female,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),88.29,3651.7,Yes
CUST-00018,Female,0,No,Yes,6,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,28.01,186.32,No
CUST-00019,Female,1,Yes,No,26,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.76,1243.55,No
CUST-00020,Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,45.16,690.2,Yes
CUST-00021,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.45,914.38,No
CUST-00022,Male,0,Yes,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.49,1797.31,No
CUST-00023,Female,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.64,2511.26,No
CUST-00024,Female,1,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.83,1061.82,Yes
CUST-00025,Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,4735.94,No
